address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
316 N 24TH ST,PA,CAMP HILL,17011,1950,6.0,4.0,,X,455145412,125655,2023B
320 N 24TH ST,PA,CAMP HILL,17011,2154,13.0,16.0,,X,455145416,125655,2023B
326 N 24TH ST,PA,CAMP HILL,17011,1959,13.0,4.0,,X,455145420,125655,2023B
328 N 24TH ST,PA,CAMP HILL,17011,1800,6.0,16.0,,X,455145424,125655,2023B
336 N 24TH ST,PA,CAMP HILL,17011,1808,6.0,16.0,,X,455145428,125655,2023B
340 N 24TH ST,PA,CAMP HILL,17011,1661,6.0,16.0,,X,455145432,125655,2023B
342 N 24TH ST,PA,CAMP HILL,17011,1882,13.0,4.0,,X,455145436,125655,2023B
348 N 24TH ST,PA,CAMP HILL,17011,2075,13.0,10.0,,X,455145440,125655,2023B
350 N 24TH ST,PA,CAMP HILL,17011,2168,6.0,16.0,,X,455145448,125655,2023B
362 N 24TH ST,PA,CAMP HILL,17011,2136,13.0,4.0,,X,455145456,125655,2023B
364 N 24TH ST,PA,CAMP HILL,17011,2273,13.0,4.0,,X,455145468,125655,2023B
366 N 24TH ST,PA,CAMP HILL,17011,1776,13.0,4.0,,X,455145476,125655,2023B
363 N 24TH ST,PA,CAMP HILL,17011,1496,13.0,4.0,,X,455145484,125655,2023B
367 N 24TH ST,PA,CAMP HILL,17011,2628,13.0,10.0,,X,455145492,125655,2023B
359 N 24TH ST,PA,CAMP HILL,17011,1628,13.0,4.0,,X,455145504,125655,2023B
357 N 24TH ST,PA,CAMP HILL,17011,1690,13.0,13.0,,X,455145512,125655,2023B
353 N 24TH ST,PA,CAMP HILL,17011,2377,6.0,16.0,,X,455145516,125655,2023B
349 N 24TH ST,PA,CAMP HILL,17011,1648,13.0,13.0,,X,455145520,125655,2023B
347 N 24TH ST,PA,CAMP HILL,17011,2187,13.0,4.0,,X,455145524,125655,2023B
341 N 24TH ST,PA,CAMP HILL,17011,2753,13.0,16.0,,X,455145528,125655,2023B
335 N 24TH ST,PA,CAMP HILL,17011,1823,6.0,10.0,,X,455145532,125655,2023B
331 N 24TH ST,PA,CAMP HILL,17011,1787,6.0,4.0,,X,455145536,125655,2023B
327 N 24TH ST,PA,CAMP HILL,17011,2800,13.0,16.0,,X,455145540,125655,2023B
323 N 24TH ST,PA,CAMP HILL,17011,2994,13.0,10.0,,X,455145544,125655,2023B
319 N 24TH ST,PA,CAMP HILL,17011,2377,13.0,16.0,,X,455145548,125655,2023B
311 N 24TH ST,PA,CAMP HILL,17011,2316,6.0,16.0,,X,455145552,125655,2023B
307 N 24TH ST,PA,CAMP HILL,17011,2276,13.0,16.0,,X,455145556,125655,2023B
301 N 24TH ST,PA,CAMP HILL,17011,2182,13.0,16.0,,X,455145560,125655,2023B
2310 LINCOLN ST,PA,CAMP HILL,17011,1840,6.0,4.0,,X,455145568,125655,2023B
2300 LINCOLN ST,PA,CAMP HILL,17011,1252,13.0,4.0,,X,455145572,125655,2023B
303 N 23RD ST,PA,CAMP HILL,17011,2296,13.0,4.0,,X,455145576,125655,2023B
301 N 23RD ST,PA,CAMP HILL,17011,2002,13.0,13.0,,X,455145580,125655,2023B
304 N 21ST ST,PA,CAMP HILL,17011,2688,13.0,4.0,,X,455145584,125655,2023B
306 N 21ST ST,PA,CAMP HILL,17011,1856,13.0,4.0,,X,455145588,125655,2023B
308 N 21ST ST,PA,CAMP HILL,17011,1140,13.0,4.0,,X,455145592,125655,2023B
330 N 21ST ST,PA,CAMP HILL,17011,1107,13.0,10.0,,X,455145612,125655,2023B
332 N 21ST ST,PA,CAMP HILL,17011,3207,6.0,10.0,,X,455145620,125655,2023B
334 N 21ST ST,PA,CAMP HILL,17011,1148,13.0,4.0,,X,455145628,125655,2023B
336 N 21ST ST,PA,CAMP HILL,17011,1100,13.0,4.0,,X,455145640,125655,2023B
353 N 21ST ST,PA,CAMP HILL,17011,2280,13.0,8.0,,X,455145660,125655,2023B
1908 DIGHTON ST,PA,CAMP HILL,17011,1152,13.0,4.0,,X,455145672,125655,2023B
396 N 19TH ST,PA,CAMP HILL,17011,1120,13.0,4.0,,X,455145676,125655,2023B
398 N 19TH ST,PA,CAMP HILL,17011,1232,6.0,4.0,,X,455145680,125655,2023B
1907 ATHOL ST,PA,CAMP HILL,17011,1144,6.0,4.0,,X,455145684,125655,2023B
1907 DIGHTON ST,PA,CAMP HILL,17011,1530,13.0,4.0,,X,455145692,125655,2023B
1909 DIGHTON ST,PA,CAMP HILL,17011,1008,6.0,4.0,,X,455145704,125655,2023B
