address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
50 WILSON ST,PA,CARLISLE,17013,1322,13.0,4.0,,X,455296944,99317,2023B
48 WILSON ST,PA,CARLISLE,17013,1616,6.0,4.0,,X,455296948,99317,2023B
46 WILSON ST,PA,CARLISLE,17013,1720,13.0,4.0,,X,455296952,99317,2023B
44 WILSON ST,PA,CARLISLE,17013,1420,6.0,4.0,,X,455296956,99317,2023B
42 WILSON ST,PA,CARLISLE,17013,1486,13.0,4.0,,X,455296960,99317,2023B
40 WILSON ST,PA,CARLISLE,17013,1552,6.0,10.0,,X,455296964,99317,2023B
38 WILSON ST,PA,CARLISLE,17013,2487,13.0,4.0,,X,455297144,99317,2023B
25 WILSON ST,PA,CARLISLE,17013,952,13.0,4.0,,X,455297148,99317,2023B
29 WILSON ST,PA,CARLISLE,17013,1066,13.0,4.0,,X,455297152,99317,2023B
35 WILSON ST,PA,CARLISLE,17013,1146,13.0,4.0,,X,455297156,99317,2023B
39 WILSON ST,PA,CARLISLE,17013,974,6.0,4.0,,X,455297160,99317,2023B
41 WILSON ST,PA,CARLISLE,17013,1533,6.0,10.0,,X,455297164,99317,2023B
45 WILSON ST,PA,CARLISLE,17013,1440,6.0,4.0,,X,455297168,99317,2023B
51 WILSON ST,PA,CARLISLE,17013,1261,6.0,4.0,,X,455297172,99317,2023B
55 WILSON ST,PA,CARLISLE,17013,1648,13.0,4.0,,X,455297176,99317,2023B
101 WILSON ST,PA,CARLISLE,17013,1530,6.0,4.0,,X,455297292,99317,2023B
123 WILSON ST,PA,CARLISLE,17013,2045,13.0,4.0,,X,455297300,99317,2023B
129 WILSON ST,PA,CARLISLE,17013,1336,13.0,4.0,,X,455297308,99317,2023B
133 WILSON ST,PA,CARLISLE,17013,1928,6.0,10.0,,X,455297316,99317,2023B
137 WILSON ST,PA,CARLISLE,17013,1761,6.0,4.0,,X,455297328,99317,2023B
141 WILSON ST,PA,CARLISLE,17013,1504,6.0,10.0,,X,455297336,99317,2023B
147 WILSON ST,PA,CARLISLE,17013,1776,6.0,4.0,,X,455297348,99317,2023B
631 W SOUTH ST,PA,CARLISLE,17013,2016,13.0,4.0,,X,455297360,99317,2023B
625 W SOUTH ST,PA,CARLISLE,17013,1890,13.0,4.0,,X,455297556,99317,2023B
615 W SOUTH ST,PA,CARLISLE,17013,3668,6.0,10.0,,X,455297568,99317,2023B
140 PARKER ST,PA,CARLISLE,17013,2194,13.0,4.0,,X,455297576,99317,2023B
134 PARKER ST,PA,CARLISLE,17013,1670,13.0,4.0,,X,455297584,99317,2023B
128 PARKER ST,PA,CARLISLE,17013,1216,6.0,16.0,,X,455297608,99317,2023B
126 PARKER ST,PA,CARLISLE,17013,1461,6.0,16.0,,X,455297616,99317,2023B
124 PARKER ST,PA,CARLISLE,17013,1654,6.0,10.0,,X,455297624,99317,2023B
122 PARKER ST,PA,CARLISLE,17013,1881,13.0,4.0,,X,455297632,99317,2023B
120 PARKER ST,PA,CARLISLE,17013,1744,6.0,10.0,11,X,455297644,99317,2023B
118 PARKER ST,PA,CARLISLE,17013,2234,13.0,4.0,,X,455297652,99317,2023B
60 PARKER ST,PA,CARLISLE,17013,1440,13.0,4.0,,X,455297668,99317,2023B
54 PARKER ST,PA,CARLISLE,17013,2776,13.0,4.0,,X,455297688,99317,2023B
46 PARKER ST,PA,CARLISLE,17013,1661,6.0,10.0,,X,455297912,99317,2023B
44 PARKER ST,PA,CARLISLE,17013,1441,6.0,4.0,,X,455297928,99317,2023B
42 PARKER ST,PA,CARLISLE,17013,1407,6.0,4.0,,X,455297940,99317,2023B
26 PARKER ST,PA,CARLISLE,17013,1686,6.0,4.0,,X,455297956,99317,2023B
24 PARKER ST,PA,CARLISLE,17013,1448,6.0,4.0,,X,455297960,99317,2023B
33 PARKER ST,PA,CARLISLE,17013,1344,6.0,4.0,,X,455298172,99317,2023B
35 PARKER ST,PA,CARLISLE,17013,1665,13.0,4.0,,X,455298184,99317,2023B
39 PARKER ST,PA,CARLISLE,17013,1650,13.0,4.0,,X,455298192,99317,2023B
45 PARKER ST,PA,CARLISLE,17013,1727,13.0,4.0,,X,455298204,99317,2023B
55 PARKER ST,PA,CARLISLE,17013,1278,13.0,4.0,,X,455298212,99317,2023B
61 PARKER ST,PA,CARLISLE,17013,1420,13.0,4.0,,X,455298220,99317,2023B
69 PARKER ST,PA,CARLISLE,17013,1716,6.0,4.0,,X,455298228,99317,2023B
101 PARKER ST,PA,CARLISLE,17013,1813,6.0,10.0,,X,455298348,99317,2023B
111 PARKER ST,PA,CARLISLE,17013,2410,13.0,10.0,,X,455298360,99317,2023B
121 PARKER ST,PA,CARLISLE,17013,1758,13.0,10.0,,X,455298372,99317,2023B
123 PARKER ST,PA,CARLISLE,17013,1554,13.0,4.0,,X,455298384,99317,2023B
125 PARKER ST,PA,CARLISLE,17013,1319,13.0,10.0,,X,455298392,99317,2023B
127 PARKER ST,PA,CARLISLE,17013,2564,13.0,4.0,,X,455298400,99317,2023B
145 PARKER ST,PA,CARLISLE,17013,1591,13.0,4.0,,X,455298412,99317,2023B
525 W SOUTH ST,PA,CARLISLE,17013,1758,6.0,4.0,,X,455298424,99317,2023B
521 W SOUTH ST,PA,CARLISLE,17013,2237,13.0,4.0,,X,455298480,99317,2023B
503 W SOUTH ST,PA,CARLISLE,17013,3214,6.0,4.0,,X,455298492,99317,2023B
140 CONWAY ST,PA,CARLISLE,17013,2025,6.0,10.0,,X,455298500,99317,2023B
138 CONWAY ST,PA,CARLISLE,17013,2071,6.0,16.0,11,X,455298512,99317,2023B
132 CONWAY ST,PA,CARLISLE,17013,1788,6.0,10.0,,X,455298520,99317,2023B
130 CONWAY ST,PA,CARLISLE,17013,1356,6.0,10.0,,X,455298612,99317,2023B
124 CONWAY ST,PA,CARLISLE,17013,3634,13.0,16.0,,X,455298628,99317,2023B
100 CONWAY ST,PA,CARLISLE,17013,2404,6.0,4.0,,X,455298680,99317,2023B
60 CONWAY ST,PA,CARLISLE,17013,3431,6.0,10.0,,X,455298688,99317,2023B
52 CONWAY ST,PA,CARLISLE,17013,2819,6.0,16.0,,X,455298692,99317,2023B
44 CONWAY ST,PA,CARLISLE,17013,2758,6.0,10.0,,X,455298696,99317,2023B
40 CONWAY ST,PA,CARLISLE,17013,2189,13.0,10.0,,X,455298700,99317,2023B
36 CONWAY ST,PA,CARLISLE,17013,2594,6.0,13.0,,X,455298704,99317,2023B
20 CONWAY ST,PA,CARLISLE,17013,1954,13.0,10.0,,X,455298708,99317,2023B
4 CONWAY ST,PA,CARLISLE,17013,1834,6.0,10.0,,X,455298712,99317,2023B
2 CONWAY ST,PA,CARLISLE,17013,1729,6.0,13.0,,X,455298716,99317,2023B
506 W HIGH ST,PA,CARLISLE,17013,1361,13.0,4.0,,X,455298800,99317,2023B
103 CONWAY ST,PA,CARLISLE,17013,2745,13.0,13.0,,X,455298820,99317,2023B
105 CONWAY ST,PA,CARLISLE,17013,1797,13.0,10.0,,X,455298824,99317,2023B
119 CONWAY ST,PA,CARLISLE,17013,1980,6.0,10.0,,X,455298828,99317,2023B
121 CONWAY ST,PA,CARLISLE,17013,1998,6.0,10.0,,X,455298832,99317,2023B
127 CONWAY ST,PA,CARLISLE,17013,4494,13.0,16.0,,X,455298956,99317,2023B
135 CONWAY ST,PA,CARLISLE,17013,2322,13.0,4.0,,X,455298964,99317,2023B
435 W SOUTH ST,PA,CARLISLE,17013,2365,13.0,16.0,,X,455298968,99317,2023B
