address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
1326 FULTON ST,PA,HARRISBURG,17102,1537,1.0,,,X,455533564,83649.0,2023B
1324 FULTON ST,PA,HARRISBURG,17102,1537,1.0,,,X,455533568,83649.0,2023B
1322 FULTON ST,PA,HARRISBURG,17102,1537,1.0,,,X,455533572,83649.0,2023B
1712 PAXTON ST,PA,HARRISBURG,17104,1344,,3.0,,X,455533588,65296.0,2023B
1714 PAXTON ST,PA,HARRISBURG,17104,1617,,,,X,455533592,65296.0,2023B
1716 PAXTON ST,PA,HARRISBURG,17104,1617,,,,X,455533596,65296.0,2023B
1320 FULTON ST,PA,HARRISBURG,17102,1537,,,,X,455533600,83649.0,2023B
1718 PAXTON ST,PA,HARRISBURG,17104,1386,,,,X,455533604,65296.0,2023B
1720 PAXTON ST,PA,HARRISBURG,17104,1617,,,,X,455533608,65296.0,2023B
1722 PAXTON ST,PA,HARRISBURG,17104,1485,,,,X,455533612,65296.0,2023B
1724 PAXTON ST,PA,HARRISBURG,17104,1559,,,,X,455533616,65296.0,2023B
1316 FULTON ST,PA,HARRISBURG,17102,1176,1.0,,,X,455533620,83649.0,2023B
1726 PAXTON ST,PA,HARRISBURG,17104,1320,,,,X,455533624,65296.0,2023B
1728 PAXTON ST,PA,HARRISBURG,17104,1320,,14.0,,X,455533628,65296.0,2023B
1730 PAXTON ST,PA,HARRISBURG,17104,1440,,,,X,455533636,65296.0,2023B
1732 PAXTON ST,PA,HARRISBURG,17104,1320,,,,X,455533640,65296.0,2023B
1734 PAXTON ST,PA,HARRISBURG,17104,1320,,,,X,455533648,65296.0,2023B
1736 PAXTON ST,PA,HARRISBURG,17104,1320,,,,X,455533652,65296.0,2023B
1321 MARION ST,PA,HARRISBURG,17102,1496,,,,X,455533656,83649.0,2023B
1317 MARION ST,PA,HARRISBURG,17102,1556,,,,X,455533664,83649.0,2023B
1738 PAXTON ST,PA,HARRISBURG,17104,1320,,,,X,455533680,65296.0,2023B
1740 PAXTON ST,PA,HARRISBURG,17104,792,,,,X,455533684,65296.0,2023B
316 CHESTNUT ST,PA,HARRISBURG,17101,1494,1.0,3.0,1,X,455533724,56333.0,2023B
517 CALDER ST,PA,HARRISBURG,17102,1080,1.0,,,X,455533952,83649.0,2023B
519 CALDER ST,PA,HARRISBURG,17102,1080,1.0,,,X,455533972,83649.0,2023B
521 CALDER ST,PA,HARRISBURG,17102,1080,1.0,,,X,455533980,83649.0,2023B
523 CALDER ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534000,83649.0,2023B
525 CALDER ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534008,83649.0,2023B
527 CALDER ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534020,83649.0,2023B
1346 N 6TH ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534028,83649.0,2023B
1344 N 6TH ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534036,83649.0,2023B
1342 N 6TH ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534044,83649.0,2023B
1340 N 6TH ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534052,83649.0,2023B
1338 N 6TH ST,PA,HARRISBURG,17102,1080,1.0,,,X,455534056,83649.0,2023B
1336 N 6TH ST,PA,HARRISBURG,17102,1176,1.0,,,X,455534060,83649.0,2023B
